5.661984 2.367308
-6.048973 4.282508
-4.444506 2.333745
2.577418 -0.582446
9.044595 4.921659
4.345939 1.598051
-9.673989 5.666060
6.083535 5.102891
-7.404191 2.539230
-5.634862 6.199449
2.252797 1.826560
0.485744 -1.000559
-4.149664 3.634055
5.398277 1.765696
-4.333705 3.578947
8.380529 6.887231
0.519907 3.809210
3.264539 2.532501
-8.716574 6.157204
-8.738083 2.560509
8.044161 8.174106
0.795207 0.461502
0.250707 0.640174
-9.214393 5.970766
8.616196 8.193301
4.770686 2.061324
3.757228 0.767443
7.601505 2.478754
-5.420637 2.406688
3.733398 1.195075
